monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779486181.584167,0.002366,2026-05-22T17:43:01.584,command,1,0.499985,-0.003556,0.500000,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.586311,0.004510,2026-05-22T17:43:01.586,sample,1,0.490357,0.003786,0.503525,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.585686445,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.597006,0.015205,2026-05-22T17:43:01.597,sample,1,0.490363,0.003807,0.503551,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.594688416,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.607594,0.025793,2026-05-22T17:43:01.607,sample,1,0.490351,0.003806,0.503600,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.602715492,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.618213,0.036412,2026-05-22T17:43:01.618,sample,1,0.490350,0.003812,0.503618,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.611043453,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.628739,0.046937,2026-05-22T17:43:01.628,sample,1,0.490315,0.003812,0.503701,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.627212048,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.639337,0.057535,2026-05-22T17:43:01.639,sample,1,0.490312,0.003826,0.503736,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.635497332,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.650085,0.068284,2026-05-22T17:43:01.650,sample,1,0.490303,0.003815,0.503741,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.644135714,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.660903,0.079102,2026-05-22T17:43:01.660,sample,1,0.490262,0.003763,0.503850,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.660676003,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
1779486181.671471,0.089670,2026-05-22T17:43:01.671,sample,1,0.490259,0.003754,0.503862,0.489773,0.003122,0.504225,0.212177,0.270273,0.000000,0.499985,-0.003556,0.500000,,,1779486181.669013739,,,,,,,,,0,0,0,0,25446,13274,26010,12826,start_traj
