monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779490594.355822,0.001858,2026-05-22T18:56:34.355,command,1,0.219985,0.479638,0.300000,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.361171,0.007207,2026-05-22T18:56:34.361,sample,1,0.222045,0.484280,0.301563,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.357704163,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.371774,0.017810,2026-05-22T18:56:34.371,sample,1,0.221879,0.484133,0.301560,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.367901802,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.382362,0.028398,2026-05-22T18:56:34.382,sample,1,0.221695,0.483933,0.301668,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.373986244,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.392926,0.038962,2026-05-22T18:56:34.392,sample,1,0.221473,0.483515,0.301685,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.390757084,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.403525,0.049561,2026-05-22T18:56:34.403,sample,1,0.221359,0.483319,0.301650,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.399911642,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.414090,0.060126,2026-05-22T18:56:34.414,sample,1,0.221238,0.483096,0.301636,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.407901525,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.424755,0.070791,2026-05-22T18:56:34.424,sample,1,0.220998,0.482699,0.301545,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.423962593,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.435350,0.081386,2026-05-22T18:56:34.435,sample,1,0.220840,0.482503,0.301530,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.432838917,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.445914,0.091950,2026-05-22T18:56:34.445,sample,1,0.220639,0.482283,0.301489,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.440611362,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.456482,0.102518,2026-05-22T18:56:34.456,sample,1,0.220429,0.482083,0.301399,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.449187756,,,,,,,,,0,0,0,0,18518,21145,18309,20668,start_traj
1779490594.467075,0.113111,2026-05-22T18:56:34.467,sample,1,0.220043,0.481666,0.301285,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.465963840,,,,,,,,,0,0,0,0,17946,22240,17512,21785,start_traj
1779490594.477632,0.123668,2026-05-22T18:56:34.477,sample,1,0.219896,0.481530,0.301226,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.476467609,,,,,,,,,0,0,0,0,17946,22240,17512,21785,start_traj
1779490594.488228,0.134264,2026-05-22T18:56:34.488,sample,1,0.219642,0.481384,0.301163,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.482957840,,,,,,,,,0,0,0,0,17946,22240,17512,21785,start_traj
1779490594.498801,0.144837,2026-05-22T18:56:34.498,sample,1,0.219536,0.481199,0.301087,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.491975546,,,,,,,,,0,0,0,0,17946,22240,17512,21785,start_traj
1779490594.509363,0.155399,2026-05-22T18:56:34.509,sample,1,0.218967,0.480845,0.301000,0.222867,0.483115,0.302251,0.232074,0.276444,0.000000,0.219985,0.479638,0.300000,,,1779490594.507400036,,,,,,,,,0,0,0,0,25961,14452,25668,13888,start_traj
