monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779479198.956124,0.001488,2026-05-22T15:46:38.956,command,1,0.487614,-0.036719,0.500000,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,,,,,,,,,,0,0,0,0,14858,23287,16320,23752,start_traj
1779479198.956424,0.001788,2026-05-22T15:46:38.956,command,1,0.487614,-0.036719,0.500000,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,,,,,,,,,,0,0,1,0,14858,23287,16320,23752,set_constraints
1779479198.963825,0.009189,2026-05-22T15:46:38.963,sample,1,0.483374,-0.014737,0.502914,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479198.961766720,,,,,,,,,0,0,1,0,14858,23287,16320,23752,set_constraints
1779479198.974392,0.019756,2026-05-22T15:46:38.974,sample,1,0.483300,-0.014725,0.502912,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479198.971539497,,,,,,,,,0,0,1,0,14858,23287,16320,23752,set_constraints
1779479198.984977,0.030341,2026-05-22T15:46:38.984,sample,1,0.483223,-0.014739,0.502924,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479198.979224205,,,,,,,,,0,0,1,0,14858,23287,16320,23752,set_constraints
1779479198.995751,0.041116,2026-05-22T15:46:38.995,sample,1,0.483046,-0.014746,0.502958,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479198.995294333,,,,,,,,,0,0,1,0,20281,17832,21324,18503,set_constraints
1779479199.006368,0.051733,2026-05-22T15:46:39.006,sample,1,0.482993,-0.014717,0.502950,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.004638433,,,,,,,,,0,0,1,0,20281,17832,21324,18503,set_constraints
1779479199.016950,0.062314,2026-05-22T15:46:39.016,sample,1,0.482870,-0.014757,0.502986,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.011708975,,,,,,,,,0,0,1,0,20281,17832,21324,18503,set_constraints
1779479199.027558,0.072922,2026-05-22T15:46:39.027,sample,1,0.482795,-0.014710,0.503008,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.020296097,,,,,,,,,0,0,1,0,20281,17832,21324,18503,set_constraints
1779479199.038129,0.083493,2026-05-22T15:46:39.038,sample,1,0.482651,-0.014704,0.503056,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.037177324,,,,,,,,,0,0,1,0,20281,17832,21324,18503,set_constraints
1779479199.048758,0.094122,2026-05-22T15:46:39.048,sample,1,0.482573,-0.014667,0.503082,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.045257807,,,,,,,,,0,0,1,0,18949,19216,20392,19368,set_constraints
1779479199.055189,0.100553,2026-05-22T15:46:39.055,command,1,0.487614,-0.036719,0.500000,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,,,,,,,,,,0,0,1,0,18949,19216,20392,19368,set_constraints
1779479199.059461,0.104825,2026-05-22T15:46:39.059,sample,1,0.482544,-0.014637,0.503065,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.054056644,,,,,,,,,0,0,1,0,18949,19216,20392,19368,set_constraints
1779479199.070149,0.115514,2026-05-22T15:46:39.070,sample,1,0.482485,-0.014622,0.503107,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.062447309,,,,,,,,,0,0,1,0,18949,19216,20392,19368,set_constraints
1779479199.080749,0.126113,2026-05-22T15:46:39.080,sample,1,0.482435,-0.014525,0.503127,0.481542,-0.015104,0.503447,-0.257785,0.316197,0.000000,0.487614,-0.036719,0.500000,,,1779479199.079037428,,,,,,,,,0,0,1,0,18949,19216,20392,19368,set_constraints
