monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779488545.262017,0.001349,2026-05-22T18:22:25.262,command,1,0.455332,0.036953,0.500000,0.442291,0.043246,0.503606,0.257779,0.121003,0.000000,0.455332,0.036953,0.500000,,,,,,,,,,,,0,0,0,0,20806,18447,21439,18432,start_traj
1779488545.266478,0.005810,2026-05-22T18:22:25.266,sample,1,0.438171,0.044168,0.502507,0.442291,0.043246,0.503606,0.257779,0.121003,0.000000,0.455332,0.036953,0.500000,,,1779488545.265198469,,,,,,,,,0,0,0,0,20806,18447,21439,18432,start_traj
1779488545.277130,0.016462,2026-05-22T18:22:25.277,sample,1,0.438050,0.044204,0.502459,0.442291,0.043246,0.503606,0.257779,0.121003,0.000000,0.455332,0.036953,0.500000,,,1779488545.274274349,,,,,,,,,0,0,0,0,20806,18447,21439,18432,start_traj
1779488545.287716,0.027048,2026-05-22T18:22:25.287,sample,1,0.437925,0.044241,0.502432,0.442291,0.043246,0.503606,0.257779,0.121003,0.000000,0.455332,0.036953,0.500000,,,1779488545.281948566,,,,,,,,,0,0,0,0,20806,18447,21439,18432,start_traj
1779488545.298370,0.037702,2026-05-22T18:22:25.298,sample,1,0.437818,0.044312,0.502432,0.442291,0.043246,0.503606,0.257779,0.121003,0.000000,0.455332,0.036953,0.500000,,,1779488545.291893005,,,,,,,,,0,0,0,0,20806,18447,21439,18432,start_traj
1779488545.309186,0.048518,2026-05-22T18:22:25.309,sample,1,0.437545,0.044368,0.502393,0.442291,0.043246,0.503606,0.257779,0.121003,0.000000,0.455332,0.036953,0.500000,,,1779488545.307894707,,,,,,,,,0,0,0,0,20806,18447,21439,18432,start_traj
1779488545.319771,0.059103,2026-05-22T18:22:25.319,sample,1,0.437438,0.044445,0.502366,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.315510750,,,,,,,,,0,0,0,0,20442,18669,21126,18564,start_traj
1779488545.330363,0.069695,2026-05-22T18:22:25.330,sample,1,0.437340,0.044481,0.502380,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.323795080,,,,,,,,,0,0,0,0,20442,18669,21126,18564,start_traj
1779488545.340957,0.080289,2026-05-22T18:22:25.340,sample,1,0.437265,0.044526,0.502379,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.332504272,,,,,,,,,0,0,0,0,20442,18669,21126,18564,start_traj
1779488545.351533,0.090865,2026-05-22T18:22:25.351,sample,1,0.437069,0.044599,0.502385,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.348601580,,,,,,,,,0,0,0,0,20442,18669,21126,18564,start_traj
1779488545.362196,0.101528,2026-05-22T18:22:25.362,sample,1,0.436973,0.044646,0.502410,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.357311964,,,,,,,,,0,0,0,0,21773,17008,22688,16818,start_traj
1779488545.372801,0.112134,2026-05-22T18:22:25.372,sample,1,0.436903,0.044703,0.502414,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.367611885,,,,,,,,,0,0,0,0,21773,17008,22688,16818,start_traj
1779488545.383430,0.122763,2026-05-22T18:22:25.383,sample,1,0.436731,0.044778,0.502433,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.382845640,,,,,,,,,0,0,0,0,21773,17008,22688,16818,start_traj
1779488545.394048,0.133381,2026-05-22T18:22:25.394,sample,1,0.436637,0.044802,0.502479,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.390604496,,,,,,,,,0,0,0,0,21773,17008,22688,16818,start_traj
1779488545.404654,0.143986,2026-05-22T18:22:25.404,sample,1,0.436594,0.044848,0.502492,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.401164532,,,,,,,,,0,0,0,0,21773,17008,22688,16818,start_traj
1779488545.415249,0.154581,2026-05-22T18:22:25.415,sample,1,0.436529,0.044865,0.502521,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.407163858,,,,,,,,,0,0,0,0,19533,19496,20130,18886,start_traj
1779488545.425889,0.165222,2026-05-22T18:22:25.425,sample,1,0.436418,0.044928,0.502563,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.423643351,,,,,,,,,0,0,0,0,19533,19496,20130,18886,start_traj
1779488545.436915,0.176247,2026-05-22T18:22:25.436,sample,1,0.436361,0.044950,0.502554,0.438767,0.044071,0.502874,-0.036240,-0.617812,0.000000,0.455332,0.036953,0.500000,,,1779488545.432268858,,,,,,,,,0,0,0,0,19533,19496,20130,18886,start_traj
