monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779490279.675663,0.002168,2026-05-22T18:51:19.675,command,1,0.720000,0.480000,0.300000,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,,,,,,,,,,0,0,0,0,18086,21214,18804,20698,start_traj
1779490279.678901,0.005407,2026-05-22T18:51:19.678,sample,1,0.700649,0.499712,0.304626,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.675550222,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.689600,0.016106,2026-05-22T18:51:19.689,sample,1,0.700765,0.499610,0.304696,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.684020996,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.700205,0.026711,2026-05-22T18:51:19.700,sample,1,0.700877,0.499487,0.304781,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.692770720,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.710812,0.037317,2026-05-22T18:51:19.710,sample,1,0.701066,0.499234,0.304839,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.708837748,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.721416,0.047922,2026-05-22T18:51:19.721,sample,1,0.701162,0.499145,0.304846,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.716812849,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.731990,0.058496,2026-05-22T18:51:19.731,sample,1,0.701264,0.499050,0.304848,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.726001024,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.742722,0.069227,2026-05-22T18:51:19.742,sample,1,0.701389,0.498853,0.304845,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.742398024,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.753373,0.079879,2026-05-22T18:51:19.753,sample,1,0.701450,0.498759,0.304854,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.749989271,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
1779490279.763934,0.090439,2026-05-22T18:51:19.763,sample,1,0.701526,0.498668,0.304851,0.700646,0.498259,0.303965,0.430779,0.330324,0.000000,0.720000,0.480000,0.300000,,,1779490279.758556366,,,,,,,,,0,0,0,0,22038,17103,22746,16600,start_traj
