monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779489212.187443,0.002097,2026-05-22T18:33:32.187,command,1,0.362556,0.043593,0.500000,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,,,,,,,,,,0,0,0,0,23870,14621,25124,14537,start_traj
1779489212.194976,0.009630,2026-05-22T18:33:32.194,sample,1,0.337092,0.070327,0.502110,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.188660622,,,,,,,,,0,0,0,0,23870,14621,25124,14537,start_traj
1779489212.205544,0.020197,2026-05-22T18:33:32.205,sample,1,0.336642,0.071530,0.502165,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.204215288,,,,,,,,,0,0,0,0,23870,14621,25124,14537,start_traj
1779489212.216184,0.030838,2026-05-22T18:33:32.216,sample,1,0.336425,0.072235,0.502272,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.212676048,,,,,,,,,0,0,0,0,23870,14621,25124,14537,start_traj
1779489212.226832,0.041486,2026-05-22T18:33:32.226,sample,1,0.336227,0.072818,0.502345,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.222024441,,,,,,,,,0,0,0,0,23870,14621,25124,14537,start_traj
1779489212.237421,0.052075,2026-05-22T18:33:32.237,sample,1,0.336026,0.073431,0.502395,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.229809046,,,,,,,,,0,0,0,0,14652,23981,15641,23512,start_traj
1779489212.247996,0.062650,2026-05-22T18:33:32.247,sample,1,0.335652,0.074630,0.502490,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.246530056,,,,,,,,,0,0,0,0,14652,23981,15641,23512,start_traj
1779489212.258624,0.073278,2026-05-22T18:33:32.258,sample,1,0.335461,0.075244,0.502469,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.254347324,,,,,,,,,0,0,0,0,14652,23981,15641,23512,start_traj
1779489212.269321,0.083975,2026-05-22T18:33:32.269,sample,1,0.335244,0.075834,0.502522,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.262736082,,,,,,,,,0,0,0,0,14652,23981,15641,23512,start_traj
1779489212.279889,0.094543,2026-05-22T18:33:32.279,sample,1,0.334922,0.077043,0.502549,0.340669,0.056944,0.502468,0.726102,0.180622,0.000000,0.362556,0.043593,0.500000,,,1779489212.279523849,,,,,,,,,0,0,0,0,14652,23981,15641,23512,start_traj
1779489212.290474,0.105128,2026-05-22T18:33:32.290,sample,1,0.334747,0.077603,0.502632,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.288069487,,,,,,,,,0,0,0,0,24690,13735,25568,13723,start_traj
1779489212.301044,0.115697,2026-05-22T18:33:32.301,sample,1,0.334601,0.078248,0.502694,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.297094822,,,,,,,,,0,0,0,0,24690,13735,25568,13723,start_traj
1779489212.311609,0.126263,2026-05-22T18:33:32.311,sample,1,0.334443,0.078808,0.502738,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.304366827,,,,,,,,,0,0,0,0,24690,13735,25568,13723,start_traj
1779489212.322192,0.136846,2026-05-22T18:33:32.322,sample,1,0.334105,0.079942,0.502707,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.321665764,,,,,,,,,0,0,0,0,24690,13735,25568,13723,start_traj
1779489212.332744,0.147398,2026-05-22T18:33:32.332,sample,1,0.334016,0.080491,0.502737,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.329234600,,,,,,,,,0,0,0,0,16539,21707,17748,22126,start_traj
1779489212.343326,0.157979,2026-05-22T18:33:32.343,sample,1,0.333914,0.081063,0.502702,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.338483810,,,,,,,,,0,0,0,0,16539,21707,17748,22126,start_traj
1779489212.353948,0.168602,2026-05-22T18:33:32.353,sample,1,0.333741,0.081576,0.502690,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.346332788,,,,,,,,,0,0,0,0,16539,21707,17748,22126,start_traj
1779489212.364471,0.179125,2026-05-22T18:33:32.364,sample,1,0.333496,0.082780,0.502649,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.362670660,,,,,,,,,0,0,0,0,16539,21707,17748,22126,start_traj
1779489212.375048,0.189702,2026-05-22T18:33:32.375,sample,1,0.333417,0.083310,0.502700,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.371313810,,,,,,,,,0,0,0,0,16539,21707,17748,22126,start_traj
1779489212.385595,0.200249,2026-05-22T18:33:32.385,sample,1,0.333349,0.083775,0.502671,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.379886150,,,,,,,,,0,0,0,0,20605,18060,22058,17686,start_traj
1779489212.396176,0.210830,2026-05-22T18:33:32.396,sample,1,0.333165,0.084767,0.502587,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.395842791,,,,,,,,,0,0,0,0,20605,18060,22058,17686,start_traj
1779489212.406739,0.221392,2026-05-22T18:33:32.406,sample,1,0.333040,0.085267,0.502600,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.404275417,,,,,,,,,0,0,0,0,20605,18060,22058,17686,start_traj
1779489212.417303,0.231957,2026-05-22T18:33:32.417,sample,1,0.332952,0.085730,0.502684,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.412749767,,,,,,,,,0,0,0,0,20605,18060,22058,17686,start_traj
1779489212.427866,0.242520,2026-05-22T18:33:32.427,sample,1,0.332886,0.086162,0.502652,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.421636820,,,,,,,,,0,0,0,0,20605,18060,22058,17686,start_traj
1779489212.438418,0.253072,2026-05-22T18:33:32.438,sample,1,0.332821,0.086582,0.502620,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.429524660,,,,,,,,,0,0,0,0,21184,17702,22345,17022,start_traj
1779489212.448983,0.263637,2026-05-22T18:33:32.448,sample,1,0.332662,0.087474,0.502666,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.446192741,,,,,,,,,0,0,0,0,21184,17702,22345,17022,start_traj
1779489212.459524,0.274178,2026-05-22T18:33:32.459,sample,1,0.332637,0.087910,0.502756,0.336125,0.071207,0.503137,1.441018,-0.373515,0.000000,0.362556,0.043593,0.500000,,,1779489212.454369783,,,,,,,,,0,0,0,0,21184,17702,22345,17022,start_traj
