time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
1.24,-0.040646,-0.004593,0.007913,0.0000,0.000000,0.000000,0.000000,0.0000
6.64,-0.040599,-0.004559,0.007865,0.0000,0.000000,0.000000,0.000000,0.0000
11.99,-0.040599,-0.004559,0.007865,0.0000,0.000000,0.000000,0.000000,0.0000
17.35,-0.040571,-0.004471,0.007860,0.0000,0.000000,0.000000,0.000000,0.0000
22.67,-0.040571,-0.004471,0.007860,0.0000,0.000000,0.000000,0.000000,0.0000
27.98,-0.040501,-0.004446,0.007832,0.0000,0.000000,0.000000,0.000000,0.0000
33.39,-0.040475,-0.004381,0.007833,0.0000,0.000000,0.000000,0.000000,0.0000
38.70,-0.040475,-0.004381,0.007833,0.0000,0.000000,0.000000,0.000000,0.0000
44.00,-0.040425,-0.004341,0.007813,0.0000,0.000000,0.000000,0.000000,0.0000
49.39,-0.040379,-0.004315,0.007818,0.0000,0.000000,0.000000,0.000000,0.0000
55.41,-0.040379,-0.004315,0.007818,0.0000,0.018837,0.018846,0.000000,0.0000
60.72,-0.040312,-0.004267,0.007805,0.0000,0.018837,0.018846,0.000000,0.0000
66.05,-0.040267,-0.004226,0.007804,0.0000,0.018837,0.018846,0.000000,0.0000
71.37,-0.040267,-0.004226,0.007804,0.0000,0.018837,0.018846,0.000000,0.0000
76.67,-0.040206,-0.004183,0.007799,0.0000,0.018837,0.018846,0.000000,0.0000
82.09,-0.040206,-0.004183,0.007799,0.0000,0.018837,0.018846,0.000000,0.0000
87.45,-0.040155,-0.004142,0.007805,0.0000,0.018837,0.018846,0.000000,0.0000
92.86,-0.040093,-0.004101,0.007795,0.0000,0.037600,0.037674,0.000000,0.0000
98.23,-0.040093,-0.004101,0.007795,0.0000,0.037600,0.037674,0.000000,0.0000
103.54,-0.040017,-0.004074,0.007806,0.0000,0.037600,0.037674,0.000000,0.0000
108.86,-0.039961,-0.003993,0.007821,0.0000,0.037600,0.037674,0.000000,0.0000
114.18,-0.039961,-0.003993,0.007821,0.0000,0.037600,0.037674,0.000000,0.0000
119.50,-0.039891,-0.003986,0.007827,0.0000,0.037600,0.037674,0.000000,0.0000
124.92,-0.039820,-0.003916,0.007830,0.0000,0.037600,0.037674,0.000000,0.0000
130.23,-0.039820,-0.003916,0.007830,0.0000,0.037600,0.037674,0.000000,0.0000
135.62,-0.039727,-0.003883,0.007847,0.0000,0.056214,0.056465,0.000000,0.0000
140.93,-0.039617,-0.003840,0.007860,0.0000,0.056214,0.056465,0.000000,0.0000
146.26,-0.039617,-0.003840,0.007860,0.0000,0.056214,0.056465,0.000000,0.0000
151.66,-0.039506,-0.003790,0.007893,0.0000,0.056214,0.056465,0.000000,0.0000
157.68,-0.039348,-0.003717,0.007893,0.0000,0.056214,0.056465,0.000000,0.0000
163.00,-0.039348,-0.003717,0.007893,0.0000,0.056214,0.056465,0.000000,0.0000
168.31,-0.039209,-0.003647,0.007920,0.0000,0.056214,0.056465,0.000000,0.0000
173.66,-0.039032,-0.003556,0.007928,0.0000,0.074607,0.075200,0.000000,0.0000
178.98,-0.039032,-0.003556,0.007928,0.0000,0.074607,0.075200,0.000000,0.0000
184.41,-0.038832,-0.003458,0.007940,0.0000,0.074607,0.075200,0.000000,0.0000
189.75,-0.038832,-0.003458,0.007940,0.0000,0.074607,0.075200,0.000000,0.0000
195.06,-0.038832,-0.003458,0.007940,0.0000,0.074607,0.075200,0.000000,0.0000
200.40,-0.038440,-0.003222,0.007969,0.0000,0.074607,0.075200,0.000000,0.0000
205.71,-0.038440,-0.003222,0.007969,0.0000,0.074607,0.075200,0.000000,0.0000
211.00,-0.038224,-0.003096,0.007975,0.0000,0.074607,0.075200,0.000000,0.0000
216.32,-0.037990,-0.002944,0.008014,0.0000,0.092705,0.093861,0.000000,0.0000
221.64,-0.037990,-0.002944,0.008014,0.0000,0.092705,0.093861,0.000000,0.0000
227.05,-0.037721,-0.002797,0.008033,0.0000,0.092705,0.093861,0.000000,0.0000
232.37,-0.037444,-0.002605,0.008071,0.0000,0.092705,0.093861,0.000000,0.0000
237.71,-0.037444,-0.002605,0.008071,0.0000,0.092705,0.093861,0.000000,0.0000
243.00,-0.037114,-0.002387,0.008083,0.0000,0.092705,0.093861,0.000000,0.0000
248.32,-0.036759,-0.002197,0.008089,0.0000,0.092705,0.093861,0.000000,0.0000
253.63,-0.036759,-0.002197,0.008089,0.0000,0.092705,0.093861,0.000000,0.0000
259.11,-0.036409,-0.001992,0.008103,0.0000,0.110437,0.112429,0.000000,0.0000
264.51,-0.036033,-0.001710,0.008155,0.0000,0.110437,0.112429,0.000000,0.0000
269.91,-0.036033,-0.001710,0.008155,0.0000,0.110437,0.112429,0.000000,0.0000
275.27,-0.035622,-0.001454,0.008137,0.0000,0.110437,0.112429,0.000000,0.0000
280.60,-0.035622,-0.001454,0.008137,0.0000,0.110437,0.112429,0.000000,0.0000
285.93,-0.035188,-0.001189,0.008134,0.0000,0.110437,0.112429,0.000000,0.0000
291.23,-0.034701,-0.000850,0.008135,0.0000,0.110437,0.112429,0.000000,0.0000
296.57,-0.034701,-0.000850,0.008135,0.0000,0.127734,0.130886,0.000000,0.0000
301.91,-0.034206,-0.000526,0.008139,0.0000,0.127734,0.130886,0.000000,0.0000
307.28,-0.033640,-0.000122,0.008146,0.0000,0.127734,0.130886,0.000000,0.0000
312.63,-0.033640,-0.000122,0.008146,0.0000,0.127734,0.130886,0.000000,0.0000
318.11,-0.033017,0.000290,0.008142,0.0000,0.127734,0.130886,0.000000,0.0000
323.51,-0.032450,0.000701,0.008130,0.0000,0.127734,0.130886,0.000000,0.0000
328.83,-0.032450,0.000701,0.008130,0.0000,0.127734,0.130886,0.000000,0.0000
334.39,-0.031844,0.001199,0.008132,0.0000,0.127734,0.130886,0.000000,0.0000
339.72,-0.031180,0.001678,0.008064,0.0000,0.144526,0.149214,0.000000,0.0000
345.05,-0.031180,0.001678,0.008064,0.0000,0.144526,0.149214,0.000000,0.0000
350.39,-0.030388,0.002239,0.008057,0.0000,0.144526,0.149214,0.000000,0.0000
355.72,-0.030388,0.002239,0.008057,0.0000,0.144526,0.149214,0.000000,0.0000
360.78,-0.029650,0.002798,0.008033,0.0000,0.144526,0.149214,0.000000,0.0000
366.18,-0.028830,0.003436,0.008055,0.0000,0.144526,0.149214,0.000000,0.0000
371.62,-0.028830,0.003436,0.008055,0.0000,0.144526,0.149214,0.000000,0.0000
377.09,-0.027997,0.004094,0.008080,0.0000,0.160748,0.167395,0.000000,0.0000
382.47,-0.027084,0.004753,0.008075,0.0000,0.160748,0.167395,0.000000,0.0000
387.82,-0.027084,0.004753,0.008075,0.0000,0.160748,0.167395,0.000000,0.0000
393.12,-0.026177,0.005466,0.008093,0.0000,0.160748,0.167395,0.000000,0.0000
398.48,-0.025243,0.006357,0.008087,0.0000,0.160748,0.167395,0.000000,0.0000
403.83,-0.025243,0.006357,0.008087,0.0000,0.160748,0.167395,0.000000,0.0000
409.18,-0.024272,0.007106,0.008031,0.0000,0.160748,0.167395,0.000000,0.0000
414.65,-0.023255,0.007937,0.008080,0.0000,0.160748,0.167395,0.000000,0.0000
420.00,-0.023255,0.007937,0.008080,0.0000,0.176336,0.185410,0.000000,0.0000
425.36,-0.022162,0.008874,0.008037,0.0000,0.176336,0.185410,0.000000,0.0000
430.72,-0.022162,0.008874,0.008037,0.0000,0.176336,0.185410,0.000000,0.0000
436.06,-0.021089,0.009746,0.008008,0.0000,0.176336,0.185410,0.000000,0.0000
441.58,-0.019889,0.010690,0.008009,0.0000,0.176336,0.185410,0.000000,0.0000
446.95,-0.019889,0.010690,0.008009,0.0000,0.176336,0.185410,0.000000,0.0000
452.31,-0.018750,0.011663,0.008020,0.0000,0.176336,0.185410,0.000000,0.0000
457.66,-0.017514,0.012658,0.007942,0.0000,0.176336,0.185410,0.000000,0.0000
463.69,-0.017514,0.012658,0.007942,0.0000,0.191227,0.203243,0.000000,0.0000
469.06,-0.016223,0.013731,0.007935,0.0000,0.191227,0.203243,0.000000,0.0000
474.46,-0.015015,0.014847,0.007942,0.0000,0.191227,0.203243,0.000000,0.0000
479.88,-0.015015,0.014847,0.007942,0.0000,0.191227,0.203243,0.000000,0.0000
485.42,-0.013684,0.015988,0.007916,0.0000,0.191227,0.203243,0.000000,0.0000
490.82,-0.012392,0.017247,0.007904,0.0000,0.191227,0.203243,0.000000,0.0000
496.18,-0.012392,0.017247,0.007904,0.0000,0.191227,0.203243,0.000000,0.0000
501.55,-0.010955,0.018361,0.007862,0.0000,0.205364,0.220875,0.000000,0.0000
506.96,-0.009523,0.019666,0.007825,0.0000,0.205364,0.220875,0.000000,0.0000
512.40,-0.009523,0.019666,0.007825,0.0000,0.205364,0.220875,0.000000,0.0000
517.87,-0.008110,0.020875,0.007832,0.0000,0.205364,0.220875,0.000000,0.0000
522.95,-0.006631,0.022305,0.007871,0.0000,0.205364,0.220875,0.000000,0.0000
528.41,-0.006631,0.022305,0.007871,0.0000,0.205364,0.220875,0.000000,0.0000
533.84,-0.005133,0.023712,0.007842,0.0000,0.205364,0.220875,0.000000,0.0000
539.17,-0.005133,0.023712,0.007842,0.0000,0.205364,0.220875,0.000000,0.0000
545.17,-0.003584,0.025060,0.007860,0.0000,0.218691,0.238289,0.000000,0.0000
550.57,-0.001972,0.026510,0.007868,0.0000,0.218691,0.238289,0.000000,0.0000
555.92,-0.001972,0.026510,0.007868,0.0000,0.218691,0.238289,0.000000,0.0000
561.33,-0.000368,0.027953,0.007884,0.0000,0.218691,0.238289,0.000000,0.0000
566.70,0.001263,0.029532,0.007870,0.0000,0.218691,0.238289,0.000000,0.0000
572.06,0.001263,0.029532,0.007870,0.0000,0.218691,0.238289,0.000000,0.0000
577.63,0.002963,0.031124,0.007922,0.0000,0.218691,0.238289,0.000000,0.0000
583.35,0.004673,0.032665,0.007950,0.0000,0.231154,0.255468,0.000000,0.0000
588.71,0.004673,0.032665,0.007950,0.0000,0.231154,0.255468,0.000000,0.0000
594.17,0.006431,0.034276,0.007974,0.0000,0.231154,0.255468,0.000000,0.0000
599.55,0.008117,0.035994,0.008008,0.0000,0.231154,0.255468,0.000000,0.0000
604.95,0.008117,0.035994,0.008008,0.0000,0.231154,0.255468,0.000000,0.0000
610.27,0.010045,0.037585,0.007986,0.0000,0.231154,0.255468,0.000000,0.0000
615.77,0.011795,0.039240,0.008016,0.0000,0.231154,0.255468,0.000000,0.0000
621.23,0.011795,0.039240,0.008016,0.0000,0.231154,0.255468,0.000000,0.0000
627.18,0.013692,0.040986,0.008049,0.0000,0.242705,0.272394,0.000000,0.0000
632.57,0.015493,0.042851,0.008110,0.0000,0.242705,0.272394,0.000000,0.0000
637.94,0.015493,0.042851,0.008110,0.0000,0.242705,0.272394,0.000000,0.0000
643.48,0.017395,0.044659,0.008114,0.0000,0.242705,0.272394,0.000000,0.0000
648.90,0.019312,0.046391,0.008190,0.0000,0.242705,0.272394,0.000000,0.0000
654.23,0.019312,0.046391,0.008190,0.0000,0.242705,0.272394,0.000000,0.0000
