time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
-0.26,0.005955,0.024671,-0.000394,0.0000,0.000000,0.000000,0.000000,0.0000
5.62,0.005867,0.024729,-0.000395,0.0000,0.000000,0.000000,0.000000,0.0000
10.98,0.005867,0.024729,-0.000395,0.0000,0.000000,0.000000,0.000000,0.0000
16.35,0.005750,0.024762,-0.000370,0.0000,-0.352671,-0.485410,0.000000,0.0000
21.96,0.005633,0.024778,-0.000348,0.0000,-0.352671,-0.485410,0.000000,0.0000
27.35,0.005633,0.024778,-0.000348,0.0000,-0.352671,-0.485410,0.000000,0.0000
32.71,0.005515,0.024805,-0.000350,0.0000,-0.352671,-0.485410,0.000000,0.0000
38.18,0.005374,0.024819,-0.000308,0.0000,-0.352671,-0.485410,0.000000,0.0000
43.61,0.005374,0.024819,-0.000308,0.0000,-0.352671,-0.485410,0.000000,0.0000
48.97,0.005261,0.024798,-0.000275,0.0000,-0.352671,-0.485410,0.000000,0.0000
54.39,0.004921,0.024636,-0.000244,0.0000,-0.352671,-0.485410,0.000000,0.0000
59.46,0.004921,0.024636,-0.000244,0.0000,-0.352671,-0.485410,0.000000,0.0000
64.88,0.004607,0.024417,-0.000216,0.0000,-0.352671,-0.485410,0.000000,0.0000
70.23,0.004607,0.024417,-0.000216,0.0000,-0.352671,-0.485410,0.000000,0.0000
75.68,0.004216,0.024032,-0.000180,0.0000,-0.352671,-0.485410,0.000000,0.0000
81.45,0.003682,0.023549,-0.000120,0.0000,-0.352671,-0.485410,0.000000,0.0000
86.78,0.003682,0.023549,-0.000120,0.0000,-0.352671,-0.485410,0.000000,0.0000
92.12,0.003158,0.023005,-0.000169,0.0000,-0.352671,-0.485410,0.000000,0.0000
97.42,0.002500,0.022495,-0.000224,0.0000,-0.352671,-0.485410,0.000000,0.0000
102.75,0.002500,0.022495,-0.000224,0.0000,-0.352671,-0.485410,0.000000,0.0000
108.08,0.001810,0.021938,-0.000222,0.0000,-0.352671,-0.485410,0.000000,0.0000
113.40,0.001109,0.021274,-0.000291,0.0000,-0.352671,-0.485410,0.000000,0.0000
118.76,0.001109,0.021274,-0.000291,0.0000,-0.352671,-0.485410,0.000000,0.0000
124.29,0.000375,0.020654,-0.000347,0.0000,-0.352671,-0.485410,0.000000,0.0000
129.71,-0.000369,0.019844,-0.000470,0.0000,-0.352671,-0.485410,0.000000,0.0000
135.35,-0.000369,0.019844,-0.000470,0.0000,-0.352671,-0.485410,0.000000,0.0000
140.71,-0.001287,0.019060,-0.000530,0.0000,-0.352671,-0.485410,0.000000,0.0000
146.19,-0.002228,0.018157,-0.000681,0.0000,-0.352671,-0.485410,0.000000,0.0000
151.94,-0.002228,0.018157,-0.000681,0.0000,-0.352671,-0.485410,0.000000,0.0000
157.44,-0.003279,0.017144,-0.000789,0.0000,-0.352671,-0.485410,0.000000,0.0000
163.43,-0.004415,0.015973,-0.000975,0.0000,-0.352671,-0.485410,0.000000,0.0000
168.95,-0.004415,0.015973,-0.000975,0.0000,-0.352671,-0.485410,0.000000,0.0000
174.66,-0.005749,0.014747,-0.001167,0.0000,-0.352671,-0.485410,0.000000,0.0000
180.09,-0.007066,0.013423,-0.001395,0.0000,-0.352671,-0.485410,0.000000,0.0000
185.43,-0.007066,0.013423,-0.001395,0.0000,-0.352671,-0.485410,0.000000,0.0000
190.88,-0.008582,0.011834,-0.001615,0.0000,-0.352671,-0.485410,0.000000,0.0000
196.30,-0.010193,0.010205,-0.001881,0.0000,-0.352671,-0.485410,0.000000,0.0000
201.67,-0.010193,0.010205,-0.001881,0.0000,-0.352671,-0.485410,0.000000,0.0000
207.12,-0.011865,0.008402,-0.002166,0.0000,-0.352671,-0.485410,0.000000,0.0000
212.49,-0.011865,0.008402,-0.002166,0.0000,-0.352671,-0.485410,0.000000,0.0000
217.88,-0.013727,0.006445,-0.002480,0.0000,-0.352671,-0.485410,0.000000,0.0000
223.30,-0.015671,0.004326,-0.002805,0.0000,-0.352671,-0.485410,0.000000,0.0000
228.69,-0.015671,0.004326,-0.002805,0.0000,-0.352671,-0.485410,0.000000,0.0000
234.16,-0.017776,0.002085,-0.003252,0.0000,-0.352671,-0.485410,0.000000,0.0000
239.48,-0.019935,-0.000311,-0.003589,0.0000,-0.352671,-0.485410,0.000000,0.0000
245.48,-0.019935,-0.000311,-0.003589,0.0000,-0.352671,-0.485410,0.000000,0.0000
250.90,-0.022302,-0.002876,-0.003965,0.0000,-0.352671,-0.485410,0.000000,0.0000
256.30,-0.024710,-0.005594,-0.004381,0.0000,-0.352671,-0.485410,0.000000,0.0000
261.75,-0.024710,-0.005594,-0.004381,0.0000,-0.352671,-0.485410,0.000000,0.0000
267.17,-0.027351,-0.008511,-0.004764,0.0000,-0.352671,-0.485410,0.000000,0.0000
272.64,-0.030025,-0.011550,-0.005260,0.0000,-0.352671,-0.485410,0.000000,0.0000
278.07,-0.030025,-0.011550,-0.005260,0.0000,-0.352671,-0.485410,0.000000,0.0000
283.45,-0.032821,-0.014672,-0.005630,0.0000,-0.352671,-0.485410,0.000000,0.0000
288.94,-0.035844,-0.018047,-0.006144,0.0000,-0.352671,-0.485410,0.000000,0.0000
294.38,-0.035844,-0.018047,-0.006144,0.0000,-0.352671,-0.485410,0.000000,0.0000
299.78,-0.038847,-0.021660,-0.006566,0.0000,-0.352671,-0.485410,0.000000,0.0000
305.38,-0.042033,-0.025315,-0.007054,0.0000,-0.352671,-0.485410,0.000000,0.0000
310.77,-0.042033,-0.025315,-0.007054,0.0000,-0.352671,-0.485410,0.000000,0.0000
316.20,-0.045336,-0.029120,-0.007440,0.0000,-0.352671,-0.485410,0.000000,0.0000
321.95,-0.048786,-0.033191,-0.007891,0.0000,-0.352671,-0.485410,0.000000,0.0000
327.86,-0.048786,-0.033191,-0.007891,0.0000,-0.352671,-0.485410,0.000000,0.0000
333.29,-0.052281,-0.037343,-0.008320,0.0000,-0.352671,-0.485410,0.000000,0.0000
338.65,-0.055932,-0.041625,-0.008746,0.0000,-0.352671,-0.485410,0.000000,0.0000
344.06,-0.055932,-0.041625,-0.008746,0.0000,-0.352671,-0.485410,0.000000,0.0000
349.71,-0.059736,-0.046096,-0.009224,0.0000,-0.352671,-0.485410,0.000000,0.0000
355.09,-0.063641,-0.050636,-0.009669,0.0000,-0.352671,-0.485410,0.000000,0.0000
360.41,-0.063641,-0.050636,-0.009669,0.0000,-0.352671,-0.485410,0.000000,0.0000
365.81,-0.067650,-0.055347,-0.010060,0.0000,-0.352671,-0.485410,0.000000,0.0000
