time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
2.32,-0.060221,0.034594,0.006951,0.0000,-0.018837,-0.018846,0.000000,0.0000
7.78,-0.060059,0.034795,0.006922,0.0000,-0.018837,-0.018846,0.000000,0.0000
13.72,-0.060011,0.034947,0.006902,0.0000,0.000000,0.000000,0.000000,0.0000
19.12,-0.060011,0.034947,0.006902,0.0000,0.000000,0.000000,0.000000,0.0000
24.50,-0.059891,0.035106,0.006872,0.0000,0.000000,0.000000,0.000000,0.0000
29.90,-0.059789,0.035271,0.006859,0.0000,0.000000,0.000000,0.000000,0.0000
35.38,-0.059789,0.035271,0.006859,0.0000,0.000000,0.000000,0.000000,0.0000
40.98,-0.059663,0.035444,0.006865,0.0000,0.000000,0.000000,0.000000,0.0000
46.53,-0.059515,0.035588,0.006825,0.0000,0.000000,0.000000,0.000000,0.0000
52.01,-0.059515,0.035588,0.006825,0.0000,0.000000,0.000000,0.000000,0.0000
57.88,-0.059379,0.035731,0.006806,0.0000,0.000000,0.000000,0.000000,0.0000
63.32,-0.059253,0.035887,0.006795,0.0000,0.000000,0.000000,0.000000,0.0000
68.75,-0.059253,0.035887,0.006795,0.0000,0.000000,0.000000,0.000000,0.0000
74.32,-0.059066,0.036059,0.006762,0.0000,0.000000,0.000000,0.000000,0.0000
79.72,-0.058938,0.036172,0.006756,0.0000,0.000000,0.000000,0.000000,0.0000
85.12,-0.058938,0.036172,0.006756,0.0000,0.000000,0.000000,0.000000,0.0000
90.57,-0.058778,0.036312,0.006732,0.0000,0.000000,0.000000,0.000000,0.0000
96.28,-0.058608,0.036421,0.006709,0.0000,0.018837,0.018846,0.000000,0.0000
101.67,-0.058608,0.036421,0.006709,0.0000,0.018837,0.018846,0.000000,0.0000
107.05,-0.058422,0.036542,0.006707,0.0000,0.018837,0.018846,0.000000,0.0000
112.68,-0.058194,0.036703,0.006705,0.0000,0.018837,0.018846,0.000000,0.0000
118.04,-0.058194,0.036703,0.006705,0.0000,0.018837,0.018846,0.000000,0.0000
123.51,-0.058028,0.036809,0.006692,0.0000,0.018837,0.018846,0.000000,0.0000
128.85,-0.057828,0.036939,0.006690,0.0000,0.018837,0.018846,0.000000,0.0000
134.29,-0.057828,0.036939,0.006690,0.0000,0.018837,0.018846,0.000000,0.0000
139.79,-0.057589,0.037084,0.006716,0.0000,0.018837,0.018846,0.000000,0.0000
145.30,-0.057406,0.037182,0.006686,0.0000,0.018837,0.018846,0.000000,0.0000
150.68,-0.057406,0.037182,0.006686,0.0000,0.018837,0.018846,0.000000,0.0000
156.21,-0.057177,0.037313,0.006673,0.0000,0.037600,0.037674,0.000000,0.0000
161.57,-0.057177,0.037313,0.006673,0.0000,0.037600,0.037674,0.000000,0.0000
166.96,-0.056952,0.037419,0.006680,0.0000,0.037600,0.037674,0.000000,0.0000
172.36,-0.056688,0.037526,0.006673,0.0000,0.037600,0.037674,0.000000,0.0000
177.77,-0.056688,0.037526,0.006673,0.0000,0.037600,0.037674,0.000000,0.0000
183.17,-0.056376,0.037677,0.006663,0.0000,0.037600,0.037674,0.000000,0.0000
188.57,-0.056103,0.037788,0.006645,0.0000,0.037600,0.037674,0.000000,0.0000
193.90,-0.056103,0.037788,0.006645,0.0000,0.037600,0.037674,0.000000,0.0000
199.57,-0.055828,0.037912,0.006638,0.0000,0.037600,0.037674,0.000000,0.0000
204.90,-0.055555,0.038061,0.006657,0.0000,0.037600,0.037674,0.000000,0.0000
210.30,-0.055555,0.038061,0.006657,0.0000,0.037600,0.037674,0.000000,0.0000
216.21,-0.055253,0.038179,0.006648,0.0000,0.037600,0.037674,0.000000,0.0000
221.60,-0.054950,0.038320,0.006642,0.0000,0.037600,0.037674,0.000000,0.0000
226.94,-0.054950,0.038320,0.006642,0.0000,0.037600,0.037674,0.000000,0.0000
232.32,-0.054658,0.038463,0.006651,0.0000,0.037600,0.037674,0.000000,0.0000
237.67,-0.054289,0.038608,0.006631,0.0000,0.056214,0.056465,0.000000,0.0000
243.04,-0.054289,0.038608,0.006631,0.0000,0.056214,0.056465,0.000000,0.0000
248.37,-0.053917,0.038773,0.006642,0.0000,0.056214,0.056465,0.000000,0.0000
253.71,-0.053557,0.038953,0.006683,0.0000,0.056214,0.056465,0.000000,0.0000
259.11,-0.053557,0.038953,0.006683,0.0000,0.056214,0.056465,0.000000,0.0000
264.44,-0.053125,0.039158,0.006687,0.0000,0.056214,0.056465,0.000000,0.0000
269.87,-0.052733,0.039355,0.006724,0.0000,0.056214,0.056465,0.000000,0.0000
275.22,-0.052733,0.039355,0.006724,0.0000,0.056214,0.056465,0.000000,0.0000
280.55,-0.052353,0.039553,0.006712,0.0000,0.056214,0.056465,0.000000,0.0000
285.88,-0.052353,0.039553,0.006712,0.0000,0.056214,0.056465,0.000000,0.0000
291.20,-0.051895,0.039789,0.006743,0.0000,0.056214,0.056465,0.000000,0.0000
296.49,-0.051471,0.040040,0.006784,0.0000,0.056214,0.056465,0.000000,0.0000
302.31,-0.051471,0.040040,0.006784,0.0000,0.056214,0.056465,0.000000,0.0000
307.61,-0.050961,0.040295,0.006762,0.0000,0.056214,0.056465,0.000000,0.0000
312.93,-0.050509,0.040567,0.006777,0.0000,0.056214,0.056465,0.000000,0.0000
318.31,-0.050509,0.040567,0.006777,0.0000,0.074607,0.075200,0.000000,0.0000
323.70,-0.049981,0.040893,0.006808,0.0000,0.074607,0.075200,0.000000,0.0000
329.13,-0.049459,0.041155,0.006826,0.0000,0.074607,0.075200,0.000000,0.0000
334.49,-0.049459,0.041155,0.006826,0.0000,0.074607,0.075200,0.000000,0.0000
339.84,-0.048907,0.041472,0.006828,0.0000,0.074607,0.075200,0.000000,0.0000
345.16,-0.048373,0.041854,0.006861,0.0000,0.074607,0.075200,0.000000,0.0000
350.49,-0.048373,0.041854,0.006861,0.0000,0.074607,0.075200,0.000000,0.0000
355.82,-0.047776,0.042232,0.006925,0.0000,0.074607,0.075200,0.000000,0.0000
361.28,-0.047102,0.042672,0.006985,0.0000,0.074607,0.075200,0.000000,0.0000
366.71,-0.047102,0.042672,0.006985,0.0000,0.074607,0.075200,0.000000,0.0000
372.25,-0.046525,0.043063,0.007018,0.0000,0.074607,0.075200,0.000000,0.0000
377.62,-0.046525,0.043063,0.007018,0.0000,0.074607,0.075200,0.000000,0.0000
383.04,-0.045847,0.043496,0.007014,0.0000,0.092705,0.093861,0.000000,0.0000
388.38,-0.045191,0.043996,0.007027,0.0000,0.092705,0.093861,0.000000,0.0000
393.67,-0.045191,0.043996,0.007027,0.0000,0.092705,0.093861,0.000000,0.0000
399.02,-0.044475,0.044532,0.007043,0.0000,0.092705,0.093861,0.000000,0.0000
405.04,-0.043797,0.045072,0.007068,0.0000,0.092705,0.093861,0.000000,0.0000
410.42,-0.043797,0.045072,0.007068,0.0000,0.092705,0.093861,0.000000,0.0000
415.76,-0.043074,0.045683,0.007148,0.0000,0.092705,0.093861,0.000000,0.0000
421.22,-0.042168,0.046336,0.007184,0.0000,0.092705,0.093861,0.000000,0.0000
426.55,-0.042168,0.046336,0.007184,0.0000,0.092705,0.093861,0.000000,0.0000
431.90,-0.041466,0.046928,0.007180,0.0000,0.092705,0.093861,0.000000,0.0000
437.38,-0.040642,0.047574,0.007167,0.0000,0.092705,0.093861,0.000000,0.0000
442.68,-0.040642,0.047574,0.007167,0.0000,0.092705,0.093861,0.000000,0.0000
447.99,-0.039821,0.048301,0.007217,0.0000,0.092705,0.093861,0.000000,0.0000
453.36,-0.038996,0.049024,0.007244,0.0000,0.092705,0.093861,0.000000,0.0000
458.67,-0.038996,0.049024,0.007244,0.0000,0.092705,0.093861,0.000000,0.0000
464.04,-0.038105,0.049814,0.007321,0.0000,0.110437,0.112429,0.000000,0.0000
469.40,-0.038105,0.049814,0.007321,0.0000,0.110437,0.112429,0.000000,0.0000
474.68,-0.037189,0.050573,0.007310,0.0000,0.110437,0.112429,0.000000,0.0000
480.32,-0.036298,0.051439,0.007339,0.0000,0.110437,0.112429,0.000000,0.0000
485.67,-0.036298,0.051439,0.007339,0.0000,0.110437,0.112429,0.000000,0.0000
491.04,-0.035368,0.052283,0.007348,0.0000,0.110437,0.112429,0.000000,0.0000
496.39,-0.034411,0.053223,0.007344,0.0000,0.110437,0.112429,0.000000,0.0000
