time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
1.24,-0.019466,0.030882,0.004686,0.0000,0.000000,0.000000,0.000000,0.0000
6.54,-0.019466,0.030882,0.004686,0.0000,-0.352671,-0.485410,0.000000,0.0000
11.88,-0.019310,0.030813,0.004655,0.0000,-0.352671,-0.485410,0.000000,0.0000
17.24,-0.019307,0.030710,0.004657,0.0000,-0.352671,-0.485410,0.000000,0.0000
22.65,-0.019307,0.030710,0.004657,0.0000,-0.352671,-0.485410,0.000000,0.0000
28.03,-0.019154,0.030599,0.004632,0.0000,-0.352671,-0.485410,0.000000,0.0000
33.59,-0.019140,0.030489,0.004618,0.0000,-0.352671,-0.485410,0.000000,0.0000
38.88,-0.019140,0.030489,0.004618,0.0000,-0.352671,-0.485410,0.000000,0.0000
44.25,-0.018961,0.030414,0.004588,0.0000,-0.352671,-0.485410,0.000000,0.0000
49.59,-0.018965,0.030291,0.004577,0.0000,-0.352671,-0.485410,0.000000,0.0000
54.88,-0.018965,0.030291,0.004577,0.0000,-0.352671,-0.485410,0.000000,0.0000
60.21,-0.018836,0.030152,0.004555,0.0000,-0.352671,-0.485410,0.000000,0.0000
65.86,-0.018888,0.029993,0.004535,0.0000,-0.352671,-0.485410,0.000000,0.0000
71.39,-0.018888,0.029993,0.004535,0.0000,-0.352671,-0.485410,0.000000,0.0000
76.72,-0.018839,0.029798,0.004498,0.0000,-0.352671,-0.485410,0.000000,0.0000
82.08,-0.018839,0.029798,0.004498,0.0000,-0.352671,-0.485410,0.000000,0.0000
87.71,-0.018891,0.029582,0.004488,0.0000,-0.352671,-0.485410,0.000000,0.0000
93.10,-0.018965,0.029345,0.004455,0.0000,-0.352671,-0.485410,0.000000,0.0000
98.45,-0.018965,0.029345,0.004455,0.0000,-0.352671,-0.485410,0.000000,0.0000
103.77,-0.019059,0.029074,0.004441,0.0000,-0.352671,-0.485410,0.000000,0.0000
109.79,-0.019172,0.028786,0.004430,0.0000,-0.352671,-0.485410,0.000000,0.0000
115.14,-0.019172,0.028786,0.004430,0.0000,-0.352671,-0.485410,0.000000,0.0000
120.48,-0.019356,0.028459,0.004411,0.0000,-0.352671,-0.485410,0.000000,0.0000
125.87,-0.019651,0.028103,0.004380,0.0000,-0.352671,-0.485410,0.000000,0.0000
131.26,-0.019651,0.028103,0.004380,0.0000,-0.352671,-0.485410,0.000000,0.0000
136.59,-0.019925,0.027765,0.004387,0.0000,-0.352671,-0.485410,0.000000,0.0000
141.98,-0.020185,0.027427,0.004377,0.0000,-0.352671,-0.485410,0.000000,0.0000
147.40,-0.020185,0.027427,0.004377,0.0000,-0.352671,-0.485410,0.000000,0.0000
152.85,-0.020484,0.027017,0.004348,0.0000,-0.352671,-0.485410,0.000000,0.0000
158.27,-0.020880,0.026625,0.004348,0.0000,-0.352671,-0.485410,0.000000,0.0000
163.66,-0.020880,0.026625,0.004348,0.0000,-0.352671,-0.485410,0.000000,0.0000
169.04,-0.021338,0.026162,0.004328,0.0000,-0.352671,-0.485410,0.000000,0.0000
174.38,-0.021822,0.025632,0.004295,0.0000,-0.352671,-0.485410,0.000000,0.0000
179.72,-0.021822,0.025632,0.004295,0.0000,-0.352671,-0.485410,0.000000,0.0000
185.04,-0.022295,0.025101,0.004260,0.0000,-0.352671,-0.485410,0.000000,0.0000
190.62,-0.022885,0.024530,0.004256,0.0000,-0.352671,-0.485410,0.000000,0.0000
196.07,-0.022885,0.024530,0.004256,0.0000,-0.352671,-0.485410,0.000000,0.0000
201.40,-0.023526,0.023960,0.004243,0.0000,-0.352671,-0.485410,0.000000,0.0000
207.57,-0.024219,0.023262,0.004190,0.0000,-0.352671,-0.485410,0.000000,0.0000
212.94,-0.024219,0.023262,0.004190,0.0000,-0.352671,-0.485410,0.000000,0.0000
218.31,-0.024954,0.022547,0.004149,0.0000,-0.352671,-0.485410,0.000000,0.0000
223.62,-0.024954,0.022547,0.004149,0.0000,-0.352671,-0.485410,0.000000,0.0000
229.15,-0.025805,0.021801,0.004099,0.0000,-0.352671,-0.485410,0.000000,0.0000
