time_wall,time_ms,state_x,state_y,state_z,roll,pitch,yaw,u1_16,u2_16,u3_16,u4_16,mocap_time_ms,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_mode
2026-03-05T22:03:00.779329+00:00,1772748180779.328,0.429443,-0.555664,0.326172,0.062988,-0.171875,-0.608887,26604,27162,27202,26741,1772748180773.933,0.427728,-0.556582,0.326325,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.789270+00:00,1772748180789.270,0.429688,-0.555664,0.326172,0.069031,-0.126831,-0.592285,26604,27162,27202,26741,1772748180782.607,0.427949,-0.556553,0.326322,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.799149+00:00,1772748180799.148,0.429932,-0.555664,0.326172,0.073425,-0.096802,-0.590332,26604,27162,27202,26741,1772748180791.388,0.428447,-0.556442,0.326331,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.809007+00:00,1772748180809.006,0.430176,-0.555664,0.326172,0.060089,-0.084412,-0.590332,26604,27162,27202,26741,1772748180808.518,0.428912,-0.556388,0.326285,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.819682+00:00,1772748180819.682,0.430664,-0.555664,0.326172,0.062439,-0.091797,-0.597168,26604,27162,27202,26741,1772748180817.140,0.429150,-0.556329,0.326271,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.829674+00:00,1772748180829.674,0.430908,-0.555664,0.326172,0.050537,-0.127075,-0.590820,26604,27162,27202,26741,1772748180826.134,0.429364,-0.556311,0.326274,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.839548+00:00,1772748180839.547,0.431152,-0.555664,0.326172,0.039001,-0.151978,-0.582031,26604,27162,27202,26741,1772748180834.735,0.429594,-0.556276,0.326283,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.849306+00:00,1772748180849.306,0.431396,-0.555664,0.326172,0.007904,-0.132935,-0.558594,26604,27162,27202,26741,1772748180843.533,0.429874,-0.556207,0.326283,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.859529+00:00,1772748180859.529,0.431641,-0.555664,0.326172,-0.015625,-0.117126,-0.553711,26604,27162,27202,26741,1772748180852.123,0.430095,-0.556177,0.326271,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.868823+00:00,1772748180868.823,0.431885,-0.555664,0.326172,-0.026825,-0.100342,-0.546387,26604,27162,27202,26741,1772748180860.747,0.430325,-0.556132,0.326279,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.878828+00:00,1772748180878.827,0.432129,-0.555664,0.326172,-0.024246,-0.067078,-0.540527,26604,27162,27202,26741,1772748180877.952,0.430786,-0.556033,0.326232,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.889089+00:00,1772748180889.089,0.432373,-0.555664,0.326172,-0.040649,-0.101013,-0.546875,26604,27162,27202,26741,1772748180886.455,0.430947,-0.556037,0.326229,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.899992+00:00,1772748180899.991,0.432617,-0.555664,0.326172,-0.041229,-0.091980,-0.546387,26604,27162,27202,26741,1772748180895.068,0.431161,-0.556008,0.326201,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.909135+00:00,1772748180909.135,0.432861,-0.555664,0.326172,-0.039459,-0.110474,-0.553223,26604,27162,27202,26741,1772748180903.664,0.431369,-0.555953,0.326190,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.919530+00:00,1772748180919.529,0.433105,-0.555664,0.326172,-0.041077,-0.092896,-0.555664,26604,27162,27202,26741,1772748180912.483,0.431576,-0.555901,0.326208,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.929514+00:00,1772748180929.513,0.433350,-0.555176,0.326172,-0.034698,-0.048706,-0.543945,26604,27162,27202,26741,1772748180929.196,0.432045,-0.555878,0.326141,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.939248+00:00,1772748180939.247,0.433594,-0.555176,0.325928,-0.030396,-0.040405,-0.540039,26604,27162,27202,26741,1772748180937.646,0.432325,-0.555856,0.326105,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.949923+00:00,1772748180949.922,0.433838,-0.555176,0.325928,-0.023514,-0.058807,-0.533691,26604,27162,27202,26741,1772748180946.146,0.432513,-0.555859,0.326085,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.959685+00:00,1772748180959.685,0.434082,-0.555176,0.325928,-0.025879,-0.063904,-0.527832,26604,27162,27202,26741,1772748180954.656,0.432734,-0.555831,0.326043,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.969693+00:00,1772748180969.692,0.434326,-0.555176,0.325928,-0.020294,-0.088196,-0.527344,26604,27162,27202,26741,1772748180963.143,0.432902,-0.555807,0.326041,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.979868+00:00,1772748180979.868,0.434570,-0.555176,0.325928,-0.030746,-0.109314,-0.533203,26604,27162,27202,26741,1772748180971.646,0.433113,-0.555769,0.325989,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.989589+00:00,1772748180989.588,0.434814,-0.555176,0.325928,-0.047394,-0.135742,-0.530762,26604,27162,27202,26741,1772748180988.648,0.433506,-0.555667,0.325951,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:00.998965+00:00,1772748180998.965,0.435059,-0.555176,0.325928,-0.050049,-0.151489,-0.525879,26604,27162,27202,26741,1772748180997.240,0.433719,-0.555631,0.325907,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.010435+00:00,1772748181010.435,0.435303,-0.555176,0.325684,-0.064453,-0.150513,-0.519043,26604,27162,27202,26741,1772748181005.703,0.433889,-0.555619,0.325852,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.019619+00:00,1772748181019.618,0.435547,-0.555176,0.325684,-0.067932,-0.110535,-0.511719,26604,27162,27202,26741,1772748181014.365,0.434124,-0.555596,0.325762,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.028680+00:00,1772748181028.680,0.435791,-0.555176,0.325684,-0.079590,-0.083557,-0.505371,26604,27162,27202,26741,1772748181022.917,0.434293,-0.555593,0.325744,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.039350+00:00,1772748181039.349,0.436035,-0.555176,0.325684,-0.083496,-0.048859,-0.499023,26604,27162,27202,26741,1772748181031.397,0.434476,-0.555561,0.325678,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.050077+00:00,1772748181050.077,0.436279,-0.555176,0.325684,-0.076233,-0.020477,-0.488525,26604,27162,27202,26741,1772748181048.457,0.434827,-0.555539,0.325571,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.059931+00:00,1772748181059.931,0.436523,-0.555176,0.325439,-0.058319,-0.010323,-0.484863,26604,27162,27202,26741,1772748181056.969,0.435020,-0.555513,0.325517,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.069008+00:00,1772748181069.007,0.436768,-0.555176,0.325439,-0.053436,0.015480,-0.465088,26604,27162,27202,26741,1772748181065.533,0.435173,-0.555501,0.325469,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.080014+00:00,1772748181080.013,0.436768,-0.555176,0.325439,-0.033447,0.037445,-0.458984,26604,27162,27202,26741,1772748181074.050,0.435369,-0.555417,0.325425,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.090049+00:00,1772748181090.049,0.437012,-0.555176,0.325439,-0.025040,0.043823,-0.463379,26604,27162,27202,26741,1772748181082.702,0.435473,-0.555409,0.325389,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.099026+00:00,1772748181099.025,0.437256,-0.555176,0.325195,-0.015503,0.019119,-0.468506,26604,27162,27202,26741,1772748181091.219,0.435625,-0.555364,0.325317,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.109160+00:00,1772748181109.159,0.437500,-0.555176,0.325195,-0.008507,-0.013138,-0.469482,26604,27162,27202,26741,1772748181108.285,0.436125,-0.555322,0.325135,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.119757+00:00,1772748181119.756,0.437744,-0.554688,0.325195,0.014442,0.001385,-0.447510,26604,27162,27202,26741,1772748181116.759,0.436269,-0.555333,0.325074,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.130362+00:00,1772748181130.361,0.437744,-0.554688,0.325195,0.009636,-0.002823,-0.444336,26604,27162,27202,26741,1772748181125.248,0.436439,-0.555302,0.325015,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.140057+00:00,1772748181140.056,0.437988,-0.554688,0.324951,-0.005047,-0.021194,-0.442627,26604,27162,27202,26741,1772748181133.703,0.436542,-0.555303,0.324957,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.149531+00:00,1772748181149.530,0.438232,-0.554688,0.324951,-0.018799,-0.026260,-0.428223,26604,27162,27202,26741,1772748181142.243,0.436672,-0.555292,0.324886,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.160117+00:00,1772748181160.116,0.438232,-0.554688,0.324951,0.004211,-0.002541,-0.424316,26604,27162,27202,26741,1772748181159.598,0.436917,-0.555263,0.324776,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.169317+00:00,1772748181169.316,0.438477,-0.554688,0.324951,0.006554,0.019608,-0.423828,26604,27162,27202,26741,1772748181168.081,0.437047,-0.555207,0.324732,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.180135+00:00,1772748181180.134,0.438721,-0.554688,0.324707,-0.016220,0.009720,-0.428955,26604,27162,27202,26741,1772748181176.855,0.437166,-0.555206,0.324673,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.190017+00:00,1772748181190.017,0.438965,-0.554688,0.324707,-0.031860,-0.008568,-0.444580,26604,27162,27202,26741,1772748181185.530,0.437278,-0.555167,0.324588,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.200054+00:00,1772748181200.053,0.438965,-0.554688,0.324707,-0.049561,-0.001984,-0.436768,26604,27162,27202,26741,1772748181194.147,0.437352,-0.555173,0.324553,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.209055+00:00,1772748181209.054,0.438965,-0.554688,0.324707,-0.057892,0.010063,-0.437012,26604,27162,27202,26741,1772748181202.586,0.437490,-0.555176,0.324435,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.219689+00:00,1772748181219.688,0.439209,-0.554688,0.324463,-0.060150,0.044098,-0.414062,26604,27162,27202,26741,1772748181211.306,0.437624,-0.555172,0.324348,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.229540+00:00,1772748181229.540,0.439453,-0.554688,0.324463,-0.052460,0.072144,-0.408203,26604,27162,27202,26741,1772748181228.286,0.437782,-0.555145,0.324187,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.240084+00:00,1772748181240.084,0.439453,-0.554688,0.324463,-0.050690,0.074402,-0.398926,26604,27162,27202,26741,1772748181236.803,0.437865,-0.555153,0.324115,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.250740+00:00,1772748181250.740,0.439697,-0.554688,0.324219,-0.030502,0.092590,-0.392822,26604,27162,27202,26741,1772748181245.323,0.437952,-0.555133,0.324038,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.259205+00:00,1772748181259.205,0.439697,-0.554688,0.324219,-0.019470,0.119751,-0.384766,26604,27162,27202,26741,1772748181253.820,0.437984,-0.555157,0.323968,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.269686+00:00,1772748181269.686,0.439697,-0.554688,0.323975,-0.023773,0.104431,-0.386475,26604,27162,27202,26741,1772748181262.476,0.438053,-0.555112,0.323884,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-05T22:03:01.279114+00:00,1772748181279.113,0.439941,-0.554688,0.323975,-0.024902,0.056488,-0.391357,26604,27162,27202,26741,1772748181270.936,0.438114,-0.555124,0.323797,0.000000,0.000000,0.000000,1.000000,position_only
