time_ms,x,y,z,yaw_deg
4.46,-0.053305,-0.036465,0.055577,0.0000
9.99,-0.053121,-0.036257,0.055561,0.0000
15.35,-0.052914,-0.036025,0.055515,0.0000
20.75,-0.052914,-0.036025,0.055515,0.0000
26.11,-0.052743,-0.035764,0.055518,0.0000
31.55,-0.052520,-0.035571,0.055461,0.0000
36.90,-0.052520,-0.035571,0.055461,0.0000
42.24,-0.052279,-0.035278,0.055447,0.0000
47.58,-0.052279,-0.035278,0.055447,0.0000
52.90,-0.052088,-0.035032,0.055428,0.0000
58.21,-0.051736,-0.034705,0.055407,0.0000
63.57,-0.051736,-0.034705,0.055407,0.0000
68.90,-0.051371,-0.034434,0.055401,0.0000
74.22,-0.050863,-0.034161,0.055375,0.0000
79.53,-0.050863,-0.034161,0.055375,0.0000
85.14,-0.050312,-0.033931,0.055336,0.0000
90.46,-0.049576,-0.033750,0.055300,0.0000
95.78,-0.049576,-0.033750,0.055300,0.0000
101.24,-0.048747,-0.033572,0.055199,0.0000
106.56,-0.048070,-0.033301,0.055213,0.0000
111.92,-0.048070,-0.033301,0.055213,0.0000
117.24,-0.047310,-0.033084,0.055077,0.0000
122.61,-0.047310,-0.033084,0.055077,0.0000
127.96,-0.046400,-0.032842,0.055047,0.0000
133.28,-0.046400,-0.032842,0.055047,0.0000
138.60,-0.045599,-0.032622,0.054938,0.0000
144.02,-0.044547,-0.032388,0.054839,0.0000
149.33,-0.043498,-0.032174,0.054744,0.0000
154.66,-0.043498,-0.032174,0.054744,0.0000
159.95,-0.042308,-0.031955,0.054606,0.0000
165.28,-0.041047,-0.031652,0.054583,0.0000
170.60,-0.041047,-0.031652,0.054583,0.0000
176.11,-0.039715,-0.031429,0.054443,0.0000
181.43,-0.038230,-0.031227,0.054308,0.0000
187.39,-0.038230,-0.031227,0.054308,0.0000
192.96,-0.036628,-0.030979,0.054163,0.0000
198.42,-0.034782,-0.030782,0.053987,0.0000
203.84,-0.034782,-0.030782,0.053987,0.0000
209.15,-0.032790,-0.030470,0.053858,0.0000
214.57,-0.030795,-0.030271,0.053620,0.0000
219.96,-0.030795,-0.030271,0.053620,0.0000
225.37,-0.028506,-0.030023,0.053391,0.0000
230.70,-0.028506,-0.030023,0.053391,0.0000
236.08,-0.026160,-0.029800,0.053210,0.0000
241.51,-0.023643,-0.029584,0.052954,0.0000
246.90,-0.023643,-0.029584,0.052954,0.0000
252.26,-0.020867,-0.029342,0.052707,0.0000
257.61,-0.018023,-0.029173,0.052441,0.0000
262.90,-0.018023,-0.029173,0.052441,0.0000
268.88,-0.014952,-0.028973,0.052133,0.0000
274.24,-0.011754,-0.028721,0.051793,0.0000
279.55,-0.011754,-0.028721,0.051793,0.0000
284.89,-0.008248,-0.028553,0.051424,0.0000
290.21,-0.004750,-0.028340,0.051146,0.0000
295.53,-0.004750,-0.028340,0.051146,0.0000
301.18,-0.000990,-0.028132,0.050813,0.0000
306.51,0.002917,-0.027907,0.050492,0.0000
311.90,0.002917,-0.027907,0.050492,0.0000
317.29,0.007055,-0.027660,0.050165,0.0000
322.61,0.007055,-0.027660,0.050165,0.0000
327.95,0.011321,-0.027341,0.049761,0.0000
333.48,0.015818,-0.027170,0.049374,0.0000
338.80,0.015818,-0.027170,0.049374,0.0000
344.17,0.020405,-0.026982,0.049065,0.0000
349.51,0.020405,-0.026982,0.049065,0.0000
354.88,0.025285,-0.026783,0.048685,0.0000
360.24,0.030302,-0.026486,0.048337,0.0000
365.66,0.035461,-0.026257,0.048004,0.0000
371.52,0.035461,-0.026257,0.048004,0.0000
376.84,0.040782,-0.025982,0.047653,0.0000
382.29,0.046174,-0.025801,0.047317,0.0000
387.62,0.046174,-0.025801,0.047317,0.0000
393.02,0.051733,-0.025523,0.047019,0.0000
398.37,0.057500,-0.025236,0.046678,0.0000
403.70,0.057500,-0.025236,0.046678,0.0000
409.03,0.063438,-0.024991,0.046361,0.0000
414.38,0.063438,-0.024991,0.046361,0.0000
419.69,0.069503,-0.024746,0.046048,0.0000
425.04,0.075843,-0.024538,0.045726,0.0000
430.40,0.075843,-0.024538,0.045726,0.0000
435.71,0.082061,-0.024316,0.045488,0.0000
441.06,0.088687,-0.024102,0.045191,0.0000
446.41,0.088687,-0.024102,0.045191,0.0000
451.73,0.095413,-0.023778,0.045025,0.0000
457.04,0.102112,-0.023516,0.044884,0.0000
462.46,0.102112,-0.023516,0.044884,0.0000
467.81,0.109027,-0.023311,0.044763,0.0000
472.86,0.116109,-0.022992,0.044565,0.0000
478.34,0.116109,-0.022992,0.044565,0.0000
483.75,0.123102,-0.022770,0.044461,0.0000
489.11,0.123102,-0.022770,0.044461,0.0000
494.42,0.130376,-0.022491,0.044430,0.0000
499.95,0.137631,-0.022167,0.044306,0.0000
505.27,0.137631,-0.022167,0.044306,0.0000
510.68,0.144989,-0.021928,0.044316,0.0000
515.95,0.152454,-0.021641,0.044277,0.0000
521.27,0.152454,-0.021641,0.044277,0.0000
526.60,0.159840,-0.021486,0.044244,0.0000
531.89,0.159840,-0.021486,0.044244,0.0000
537.21,0.167445,-0.021142,0.044368,0.0000
542.52,0.175067,-0.020884,0.044431,0.0000
547.88,0.175067,-0.020884,0.044431,0.0000
553.21,0.182785,-0.020626,0.044538,0.0000
558.56,0.190497,-0.020419,0.044649,0.0000
563.88,0.190497,-0.020419,0.044649,0.0000
569.19,0.198212,-0.020140,0.044910,0.0000
575.13,0.205941,-0.019824,0.045079,0.0000
580.45,0.205941,-0.019824,0.045079,0.0000
585.76,0.213749,-0.019623,0.045355,0.0000
591.18,0.221597,-0.019359,0.045593,0.0000
596.53,0.221597,-0.019359,0.045593,0.0000
601.87,0.229199,-0.019160,0.045950,0.0000
607.49,0.237043,-0.018899,0.046201,0.0000
612.91,0.237043,-0.018899,0.046201,0.0000
618.23,0.244703,-0.018673,0.046546,0.0000
623.59,0.252445,-0.018391,0.046872,0.0000
