time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
3.51,-0.084326,-0.122818,0.014209,0.0000,0.001230,-0.099826,0.000000,0.0000
9.17,-0.084295,-0.123076,0.014183,0.0000,0.001230,-0.099826,0.000000,0.0000
14.75,-0.084431,-0.123387,0.014163,0.0000,-0.176336,-0.242705,0.000000,0.0000
20.10,-0.084473,-0.123642,0.014161,0.0000,-0.176336,-0.242705,0.000000,0.0000
25.42,-0.084473,-0.123642,0.014161,0.0000,-0.176336,-0.242705,0.000000,0.0000
30.69,-0.084563,-0.123903,0.014172,0.0000,-0.176336,-0.242705,0.000000,0.0000
36.67,-0.084673,-0.124214,0.014144,0.0000,-0.176336,-0.242705,0.000000,0.0000
42.13,-0.084673,-0.124214,0.014144,0.0000,-0.176336,-0.242705,0.000000,0.0000
47.47,-0.084739,-0.124482,0.014118,0.0000,-0.176336,-0.242705,0.000000,0.0000
53.02,-0.084845,-0.124780,0.014085,0.0000,-0.176336,-0.242705,0.000000,0.0000
58.49,-0.084845,-0.124780,0.014085,0.0000,-0.176336,-0.242705,0.000000,0.0000
63.81,-0.084968,-0.125097,0.014023,0.0000,-0.176336,-0.242705,0.000000,0.0000
69.12,-0.084968,-0.125097,0.014023,0.0000,-0.176336,-0.242705,0.000000,0.0000
74.48,-0.085120,-0.125486,0.013968,0.0000,-0.176336,-0.242705,0.000000,0.0000
79.91,-0.085292,-0.125863,0.013908,0.0000,-0.176336,-0.242705,0.000000,0.0000
85.34,-0.085292,-0.125863,0.013908,0.0000,-0.176336,-0.242705,0.000000,0.0000
90.69,-0.085573,-0.126350,0.013861,0.0000,-0.176336,-0.242705,0.000000,0.0000
96.12,-0.085879,-0.126913,0.013771,0.0000,-0.176336,-0.242705,0.000000,0.0000
101.48,-0.085879,-0.126913,0.013771,0.0000,-0.176336,-0.242705,0.000000,0.0000
106.85,-0.086307,-0.127525,0.013668,0.0000,-0.176336,-0.242705,0.000000,0.0000
112.24,-0.086874,-0.128403,0.013527,0.0000,-0.176336,-0.242705,0.000000,0.0000
117.90,-0.086874,-0.128403,0.013527,0.0000,-0.176336,-0.242705,0.000000,0.0000
123.58,-0.087583,-0.129407,0.013297,0.0000,-0.176336,-0.242705,0.000000,0.0000
128.93,-0.088480,-0.130793,0.012929,0.0000,-0.176336,-0.242705,0.000000,0.0000
134.33,-0.088480,-0.130793,0.012929,0.0000,-0.165315,-0.208786,0.000000,0.0000
139.66,-0.089589,-0.132443,0.012418,0.0000,-0.165315,-0.208786,0.000000,0.0000
145.11,-0.091023,-0.134405,0.011724,0.0000,-0.165315,-0.208786,0.000000,0.0000
150.43,-0.091023,-0.134405,0.011724,0.0000,-0.165315,-0.208786,0.000000,0.0000
