wall_time,monotonic_s,mode,backend,commands_enabled,command_sent,fault_count,fault_reason,state_age_s,mocap_age_s,state_x,state_y,state_z,state_vx,state_vy,state_vz,state_qx,state_qy,state_qz,state_qw,state_omega_x,state_omega_y,state_omega_z,ref_t_s,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_yaw_deg,ref_next_x,ref_next_y,ref_next_z,e0_x,e0_y,e0_z,e0_phi_x,e0_phi_y,e0_phi_z,e0_vx,e0_vy,e0_vz,e0_omega_x,e0_omega_y,e0_omega_z,bound_ex_min,bound_ex_max,bound_ey_min,bound_ey_max,request_epoch,output_epoch,selected_position_index,loihi_latency_s,u0_0,u0_1,u0_2,u0_3,selected_ep_x,selected_ep_y,selected_ep_z,cmd_x,cmd_y,cmd_z,cmd_yaw_deg
2026-05-20T19:54:02.809,2401902.752239,IDLE,real,1,0,0,,0.002127,0.007300,-0.189000,-0.570000,0.036000,-0.001000,0.001000,-0.028000,0.001383771,-0.004151312,0.001383771,0.999989468,0.005000,-0.006000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.819,2401902.762363,IDLE,real,1,0,0,,0.002532,0.000261,-0.189000,-0.570000,0.036000,-0.001000,0.001000,-0.025000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.005000,0.002000,0.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.830,2401902.773123,IDLE,real,1,0,0,,0.002217,0.003436,-0.189000,-0.570000,0.036000,-0.001000,0.001000,-0.022000,0.001383771,-0.004151312,0.001383771,0.999989468,0.004000,-0.005000,0.005000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.840,2401902.783317,IDLE,real,1,0,0,,0.003430,0.005265,-0.189000,-0.570000,0.036000,-0.001000,0.001000,-0.019000,0.001383771,-0.004151312,0.001383771,0.999989468,0.004000,-0.000000,0.009000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.850,2401902.793506,IDLE,real,1,0,0,,0.003205,0.006609,-0.189000,-0.570000,0.036000,-0.001000,0.001000,-0.017000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.004000,0.002000,0.006000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.861,2401902.804282,IDLE,real,1,0,0,,0.004269,0.009503,-0.189000,-0.570000,0.036000,-0.001000,0.001000,-0.015000,0.001383771,-0.004151312,0.001383771,0.999989468,0.000000,-0.001000,0.003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.872,2401902.815293,IDLE,real,1,0,0,,0.005607,0.003955,-0.189000,-0.570000,0.037000,-0.001000,0.001000,-0.014000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.009000,-0.002000,0.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.882,2401902.825426,IDLE,real,1,0,0,,0.004614,0.004483,-0.189000,-0.570000,0.037000,-0.001000,0.001000,-0.012000,0.001383771,-0.004151312,0.001383771,0.999989468,0.003000,-0.011000,0.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.893,2401902.836072,IDLE,real,1,0,0,,0.005537,0.007158,-0.189000,-0.570000,0.037000,-0.001000,0.001000,-0.011000,0.001383771,-0.004151312,0.001383771,0.999989468,0.004000,-0.000000,0.003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.903,2401902.846277,IDLE,real,1,0,0,,0.005374,0.001233,-0.189000,-0.570000,0.037000,-0.001000,0.002000,-0.010000,0.001383771,-0.004151312,0.001383771,0.999989468,0.001000,-0.005000,0.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
