time_wall,time_ms,state_x,state_y,state_z,roll,pitch,yaw,u1_16,u2_16,u3_16,u4_16,controller_id,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw_deg,mocap_time_ms,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_mode
2026-03-07T21:22:12.567243+00:00,1772918532567.241,-0.017487,-0.567871,0.612305,-0.540039,-0.454346,-0.508301,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532559.142,-0.019821,-0.570767,0.611675,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.577968+00:00,1772918532577.967,-0.017456,-0.567871,0.612305,-0.535156,-0.469238,-0.500488,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532576.740,-0.019787,-0.570758,0.611732,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.586519+00:00,1772918532586.519,-0.017426,-0.567871,0.612305,-0.530273,-0.486572,-0.491211,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532585.224,-0.019801,-0.570799,0.611751,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.597713+00:00,1772918532597.712,-0.017410,-0.567871,0.612305,-0.526367,-0.502930,-0.479736,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532593.701,-0.019800,-0.570796,0.611773,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.606721+00:00,1772918532606.721,-0.017380,-0.567871,0.612305,-0.526855,-0.505859,-0.448242,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532602.189,-0.019814,-0.570772,0.611787,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.618038+00:00,1772918532618.037,-0.017319,-0.567871,0.612305,-0.539551,-0.461670,-0.436768,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532610.881,-0.019785,-0.570750,0.611817,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.627513+00:00,1772918532627.513,-0.017288,-0.567871,0.612305,-0.553711,-0.434570,-0.434570,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532619.381,-0.019784,-0.570765,0.611829,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.637020+00:00,1772918532637.020,-0.017242,-0.567871,0.612305,-0.564453,-0.435791,-0.422119,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532636.442,-0.019820,-0.570801,0.611862,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.647930+00:00,1772918532647.929,-0.017212,-0.567871,0.612305,-0.566406,-0.440186,-0.412109,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532644.906,-0.019776,-0.570762,0.611879,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.657602+00:00,1772918532657.600,-0.017349,-0.567871,0.612305,-0.564941,-0.451172,-0.400635,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532653.548,-0.019747,-0.570725,0.611907,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.667339+00:00,1772918532667.339,-0.017319,-0.567871,0.612305,-0.561523,-0.467773,-0.390137,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532662.120,-0.019717,-0.570728,0.611908,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.677962+00:00,1772918532677.962,-0.017273,-0.567871,0.612305,-0.552734,-0.479980,-0.376953,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532670.710,-0.019747,-0.570765,0.611916,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.687717+00:00,1772918532687.717,-0.017227,-0.567871,0.612305,-0.546875,-0.473633,-0.369385,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532679.205,-0.019723,-0.570745,0.611922,0.000000,0.000000,0.000000,1.000000,position_only
2026-03-07T21:22:12.697776+00:00,1772918532697.776,-0.017181,-0.567871,0.612305,-0.542480,-0.473145,-0.364502,18603,18518,18582,18299,1,0.000000,-0.550000,0.600000,0.000000,1772918532696.689,-0.019680,-0.570721,0.611951,0.000000,0.000000,0.000000,1.000000,position_only
