timestamp,x,y,z,yaw
0.0,-0.3526711513754838,-0.4854101966249684,0.5,0.0
157.89473684210526,-0.33410951182940574,-0.42828334417102276,0.5,0.0
315.7894736842105,-0.31554787228332765,-0.37115649171707704,0.5,0.0
473.6842105263158,-0.2969862327372495,-0.3140296392631313,0.5,0.0
631.578947368421,-0.27842459319117147,-0.25690278680918566,0.5,0.0
789.4736842105262,-0.2598629536450934,-0.19977593435523994,0.5,0.0
947.3684210526316,-0.24130131409901526,-0.14264908190129422,0.5,0.0
1105.2631578947369,-0.22273967455293714,-0.08552222944734847,0.5,0.0
1263.157894736842,-0.20417803500685905,-0.028395376993402832,0.5,0.0
1421.0526315789473,-0.18561639546078096,0.028731475460542888,0.5,0.0
1578.9473684210525,-0.16705475591470284,0.08585832791448861,0.5,0.0
1736.842105263158,-0.14849311636862472,0.14298518036843438,0.5,0.0
1894.7368421052631,-0.12993147682254666,0.20011203282238,0.5,0.0
2052.6315789473683,-0.11136983727646858,0.25723888527632566,0.5,0.0
2210.5263157894738,-0.09280819773039047,0.31436573773027143,0.5,0.0
2368.4210526315787,-0.07424655818431235,0.37149259018421715,0.5,0.0
2526.315789473684,-0.05568491863823428,0.42861944263816276,0.5,0.0
2684.2105263157896,-0.037123279092156194,0.4857462950921084,0.5,0.0
2842.1052631578946,-0.01856163954607808,0.5428731475460542,0.5,0.0
3000.0,3.6739403974420595e-17,0.6,0.5,0.0
3157.894736842105,0.018561639546078132,0.5428731475460543,0.5,0.0
3315.7894736842104,0.03712327909215623,0.4857462950921086,0.5,0.0
3473.684210526316,0.05568491863823432,0.42861944263816276,0.5,0.0
3631.578947368421,0.07424655818431242,0.37149259018421715,0.5,0.0
3789.4736842105262,0.09280819773039052,0.31436573773027154,0.5,0.0
3947.3684210526317,0.11136983727646861,0.25723888527632577,0.5,0.0
4105.263157894737,0.12993147682254672,0.20011203282238002,0.5,0.0
4263.157894736842,0.1484931163686248,0.14298518036843438,0.5,0.0
4421.0526315789475,0.16705475591470292,0.08585832791448869,0.5,0.0
4578.9473684210525,0.18561639546078101,0.028731475460542943,0.5,0.0
4736.8421052631575,0.20417803500685913,-0.028395376993402832,0.5,0.0
4894.736842105263,0.22273967455293717,-0.08552222944734844,0.5,0.0
5052.631578947368,0.24130131409901526,-0.14264908190129408,0.5,0.0
5210.526315789473,0.2598629536450934,-0.19977593435523985,0.5,0.0
5368.421052631579,0.27842459319117147,-0.25690278680918566,0.5,0.0
5526.315789473684,0.29698623273724956,-0.31402963926313127,0.5,0.0
5684.210526315789,0.31554787228332765,-0.3711564917170769,0.5,0.0
5842.105263157895,0.3341095118294058,-0.42828334417102265,0.5,0.0
6000.0,0.3526711513754839,-0.4854101966249684,0.5,0.0
6157.894736842105,0.30407614815692724,-0.4501038601381297,0.5,0.0
6315.78947368421,0.25548114493837065,-0.41479752365129086,0.5,0.0
6473.684210526316,0.20688614171981395,-0.37949118716445207,0.5,0.0
6631.578947368421,0.15829113850125737,-0.3441848506776133,0.5,0.0
6789.473684210526,0.10969613528270081,-0.30887851419077456,0.5,0.0
6947.368421052632,0.06110113206414411,-0.2735721777039357,0.5,0.0
7105.263157894737,0.012506128845587466,-0.23826584121709693,0.5,0.0
7263.157894736842,-0.03608887437296912,-0.20295950473025814,0.5,0.0
7421.0526315789475,-0.08468387759152574,-0.16765316824341941,0.5,0.0
7578.9473684210525,-0.13327888081008235,-0.13234683175658057,0.5,0.0
