time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
-1.20,-0.047595,-0.059166,0.051021,0.0000,0.000000,0.000000,0.000000,0.0000
3.99,-0.047595,-0.059166,0.051021,0.0000,0.000000,0.000000,0.000000,0.0000
9.39,-0.047595,-0.059166,0.051021,0.0000,0.000000,0.000000,0.500000,0.0000
14.75,-0.047599,-0.059011,0.051140,0.0000,0.000000,0.000000,0.500000,0.0000
20.11,-0.047542,-0.058800,0.051237,0.0000,0.000000,0.000000,0.500000,0.0000
25.62,-0.047509,-0.058599,0.051349,0.0000,0.000000,0.000000,0.500000,0.0000
31.44,-0.047509,-0.058599,0.051349,0.0000,0.000000,0.000000,0.500000,0.0000
36.81,-0.047410,-0.058346,0.051485,0.0000,0.000000,0.000000,0.500000,0.0000
42.13,-0.047311,-0.058115,0.051753,0.0000,0.000000,0.000000,0.500000,0.0000
47.49,-0.047311,-0.058115,0.051753,0.0000,0.000000,0.000000,0.500000,0.0000
52.83,-0.047224,-0.057864,0.052174,0.0000,0.000000,0.000000,0.500000,0.0000
58.14,-0.047224,-0.057864,0.052174,0.0000,0.000000,0.000000,0.500000,0.0000
63.70,-0.047133,-0.057539,0.052790,0.0000,0.000000,0.000000,0.500000,0.0000
69.01,-0.046938,-0.057248,0.053629,0.0000,0.000000,0.000000,0.500000,0.0000
74.33,-0.046938,-0.057248,0.053629,0.0000,0.000000,0.000000,0.500000,0.0000
79.71,-0.046788,-0.056923,0.054675,0.0000,0.000000,0.000000,0.500000,0.0000
85.08,-0.046666,-0.056590,0.056087,0.0000,0.000000,0.000000,0.500000,0.0000
90.49,-0.046666,-0.056590,0.056087,0.0000,0.018846,0.018837,0.500000,0.0000
95.94,-0.046434,-0.056275,0.057668,0.0000,0.018846,0.018837,0.500000,0.0000
101.27,-0.046434,-0.056275,0.057668,0.0000,0.018846,0.018837,0.500000,0.0000
106.67,-0.046355,-0.055979,0.059668,0.0000,0.018846,0.018837,0.500000,0.0000
112.01,-0.046116,-0.055630,0.061843,0.0000,0.018846,0.018837,0.500000,0.0000
117.42,-0.046007,-0.055235,0.064426,0.0000,0.018846,0.018837,0.500000,0.0000
122.82,-0.046007,-0.055235,0.064426,0.0000,0.018846,0.018837,0.500000,0.0000
128.25,-0.045811,-0.054887,0.067287,0.0000,0.018846,0.018837,0.500000,0.0000
133.29,-0.045607,-0.054400,0.070481,0.0000,0.018846,0.018837,0.500000,0.0000
138.76,-0.045607,-0.054400,0.070481,0.0000,0.018846,0.018837,0.500000,0.0000
144.07,-0.045405,-0.053986,0.073989,0.0000,0.018846,0.018837,0.500000,0.0000
149.42,-0.045405,-0.053986,0.073989,0.0000,0.018846,0.018837,0.500000,0.0000
154.78,-0.045197,-0.053595,0.077825,0.0000,0.018846,0.018837,0.500000,0.0000
160.59,-0.044999,-0.053219,0.081938,0.0000,0.018846,0.018837,0.500000,0.0000
165.91,-0.044999,-0.053219,0.081938,0.0000,0.018846,0.018837,0.500000,0.0000
171.29,-0.044755,-0.052745,0.086363,0.0000,0.037674,0.037600,0.500000,0.0000
176.64,-0.044399,-0.052398,0.091044,0.0000,0.037674,0.037600,0.500000,0.0000
181.98,-0.044399,-0.052398,0.091044,0.0000,0.037674,0.037600,0.500000,0.0000
187.31,-0.044121,-0.051784,0.096027,0.0000,0.037674,0.037600,0.500000,0.0000
192.64,-0.044121,-0.051784,0.096027,0.0000,0.037674,0.037600,0.500000,0.0000
197.96,-0.043911,-0.051397,0.101259,0.0000,0.037674,0.037600,0.500000,0.0000
203.44,-0.043587,-0.050867,0.106685,0.0000,0.037674,0.037600,0.500000,0.0000
208.78,-0.043273,-0.050407,0.112400,0.0000,0.037674,0.037600,0.500000,0.0000
214.07,-0.043273,-0.050407,0.112400,0.0000,0.037674,0.037600,0.500000,0.0000
219.41,-0.042984,-0.049895,0.118353,0.0000,0.037674,0.037600,0.500000,0.0000
224.74,-0.042984,-0.049895,0.118353,0.0000,0.037674,0.037600,0.500000,0.0000
