time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
1.31,-0.056090,-0.013401,0.006642,0.0000,0.000000,0.000000,0.000000,0.0000
6.70,-0.056144,-0.013379,0.006627,0.0000,0.000000,0.000000,0.000000,0.0000
12.05,-0.056144,-0.013379,0.006627,0.0000,0.000000,0.000000,0.000000,0.0000
17.82,-0.056150,-0.013360,0.006602,0.0000,-0.176336,-0.242705,0.000000,0.0000
23.42,-0.056185,-0.013331,0.006595,0.0000,-0.176336,-0.242705,0.000000,0.0000
28.79,-0.056185,-0.013331,0.006595,0.0000,-0.176336,-0.242705,0.000000,0.0000
34.18,-0.056209,-0.013338,0.006577,0.0000,-0.176336,-0.242705,0.000000,0.0000
39.54,-0.056210,-0.013343,0.006583,0.0000,-0.176336,-0.242705,0.000000,0.0000
45.11,-0.056175,-0.013293,0.006574,0.0000,-0.176336,-0.242705,0.000000,0.0000
50.59,-0.056175,-0.013293,0.006574,0.0000,-0.176336,-0.242705,0.000000,0.0000
55.93,-0.056274,-0.013315,0.006568,0.0000,-0.176336,-0.242705,0.000000,0.0000
61.35,-0.056274,-0.013315,0.006568,0.0000,-0.176336,-0.242705,0.000000,0.0000
66.70,-0.056303,-0.013314,0.006570,0.0000,-0.176336,-0.242705,0.000000,0.0000
72.18,-0.056385,-0.013347,0.006564,0.0000,-0.176336,-0.242705,0.000000,0.0000
77.63,-0.056385,-0.013347,0.006564,0.0000,-0.176336,-0.242705,0.000000,0.0000
82.95,-0.056466,-0.013370,0.006561,0.0000,-0.176336,-0.242705,0.000000,0.0000
88.35,-0.056572,-0.013418,0.006583,0.0000,-0.176336,-0.242705,0.000000,0.0000
93.70,-0.056572,-0.013418,0.006583,0.0000,-0.176336,-0.242705,0.000000,0.0000
99.07,-0.056745,-0.013602,0.006583,0.0000,-0.176336,-0.242705,0.000000,0.0000
104.63,-0.056852,-0.013713,0.006639,0.0000,-0.176336,-0.242705,0.000000,0.0000
109.94,-0.056852,-0.013713,0.006639,0.0000,-0.176336,-0.242705,0.000000,0.0000
115.27,-0.056983,-0.013948,0.006647,0.0000,-0.176336,-0.242705,0.000000,0.0000
121.06,-0.056983,-0.013948,0.006647,0.0000,-0.176336,-0.242705,0.000000,0.0000
126.42,-0.057069,-0.014169,0.006683,0.0000,-0.176336,-0.242705,0.000000,0.0000
131.82,-0.057344,-0.014483,0.006700,0.0000,-0.176336,-0.242705,0.000000,0.0000
